P: 4
       y (u)    z (F)
x (z)                
0.400  0.000 4212.549
0.410  0.000 4317.257
0.420  0.000 4421.668
0.430  0.000 4525.721
0.440  0.000 4629.353
0.450  0.000 4732.489
0.460  0.000 4835.046
0.470  0.000 4936.934
0.480  0.000 5038.050
0.490  0.000 5138.282
0.500  0.000 5237.504
0.510  0.000 5335.581
0.520  0.000 5432.362
0.530  0.000 5527.685
0.540  0.000 5621.371
0.550  0.000 5713.229
0.560  0.000 5803.050
0.570  0.000 5890.613
0.580  0.000 5975.679
0.590  0.000 6057.994
0.600  0.000 6137.289
0.610  0.000 6213.280
0.620  0.000 6285.672
0.630  0.000 6354.155
0.640  0.000 6418.409
0.650  0.000 6478.106
0.660  0.000 6532.913
0.670  0.000 6582.495
0.680  0.000 6626.517
0.690  0.000 6664.653
0.700  0.000 6696.587
0.710  0.000 6722.023
0.720  0.000 6740.688
0.730  0.000 6752.343
0.740  0.000 6756.790
0.750  0.000 6753.878
0.760  0.000 6743.518
0.770  0.000 6725.685
0.780  0.000 6700.433
0.790  0.000 6667.901
0.800  0.000 6628.318
0.810  0.000 6582.014
0.820  0.000 6529.418
0.830  0.000 6471.062
0.840  0.000 6407.576
0.850  0.000 6339.680
0.860  0.000 6268.172
0.870  0.000 6193.907
0.880  0.000 6117.774
0.890  0.000 6040.666
0.900  0.000 5963.443
0.910  0.000 5886.899
0.920  0.000 5811.725
0.930  0.000 5738.479
0.940  0.000 5667.568
0.950  0.000 5599.243
0.960  0.000 5533.612
0.970  0.000 5470.662
0.980  0.000 5410.298
0.990  0.000 5352.368
1.000  0.000 5296.679




P: 8
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  103.325
0.020  0.000  206.651
0.030  0.000  309.982
0.040  0.000  413.319
0.050  0.000  516.665
0.060  0.000  620.023
0.070  0.000  723.394
0.080  0.000  826.781
0.090  0.000  930.186
0.100  0.000 1033.611
0.110  0.000 1137.059
0.120  0.000 1240.531
0.130  0.000 1344.030
0.140  0.000 1447.559
0.150  0.000 1551.119
0.160  0.000 1654.713
0.170  0.000 1758.342
0.180  0.000 1862.009
0.190  0.000 1965.717
0.200  0.000 2069.466
0.210  0.000 2173.259
0.220  0.000 2277.098
0.230  0.000 2380.983
0.240  0.000 2484.918
0.250  0.000 2588.902
0.260  0.000 2692.937
0.270  0.000 2797.022
0.280  0.000 2901.159
0.290  0.000 3005.346
0.300  0.000 3109.581
0.310  0.000 3213.864
0.320  0.000 3318.190
0.330  0.000 3422.555
0.340  0.000 3526.954
0.350  0.000 3631.379
0.360  0.000 3735.822
0.370  0.000 3840.271
0.380  0.000 3944.712
0.390  0.000 4049.130
0.400  0.000 4153.505
0.410  0.000 4257.813
0.420  0.000 4362.027
0.430  0.000 4466.115
0.440  0.000 4570.041
0.450  0.000 4673.762
0.460  0.000 4777.228
0.470  0.000 4880.382
0.480  0.000 4983.160
0.490  0.000 5085.489
0.500  0.000 5187.286
0.510  0.000 5288.457
0.520  0.000 5388.897
0.530  0.000 5488.487
0.540  0.000 5587.097
0.550  0.000 5684.580
0.560  0.000 5780.773
0.570  0.000 5875.499
0.580  0.000 5968.559
0.590  0.000 6059.740
0.600  0.000 6148.806
0.610  0.000 6235.503
0.620  0.000 6319.554
0.630  0.000 6400.664
0.640  0.000 6478.516
0.650  0.000 6552.774
0.660  0.000 6623.081
0.670  0.000 6689.064
0.680  0.000 6750.336
0.690  0.000 6806.497
0.700  0.000 6857.137
0.710  0.000 6901.848
0.720  0.000 6940.220
0.730  0.000 6971.856
0.740  0.000 6996.379
0.750  0.000 7013.439
0.760  0.000 7022.726
0.770  0.000 7023.984
0.780  0.000 7017.023
0.790  0.000 7001.732
0.800  0.000 6978.095
0.810  0.000 6946.206
0.820  0.000 6906.279
0.830  0.000 6858.664
0.840  0.000 6803.852
0.850  0.000 6742.477
0.860  0.000 6675.317
0.870  0.000 6603.278
0.880  0.000 6527.378
0.890  0.000 6448.712
0.900  0.000 6368.414
0.910  0.000 6287.602
0.920  0.000 6207.321
0.930  0.000 6128.484
0.940  0.000 6051.824
0.950  0.000 5977.851
0.960  0.000 5906.857
0.970  0.000 5838.929
0.980  0.000 5774.000
0.990  0.000 5711.900
1.000  0.000 5652.389




P: 9
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  101.984
0.020  0.000  203.970
0.030  0.000  305.960
0.040  0.000  407.956
0.050  0.000  509.962
0.060  0.000  611.978
0.070  0.000  714.008
0.080  0.000  816.054
0.090  0.000  918.117
0.100  0.000 1020.200
0.110  0.000 1122.306
0.120  0.000 1224.436
0.130  0.000 1326.592
0.140  0.000 1428.778
0.150  0.000 1530.994
0.160  0.000 1633.244
0.170  0.000 1735.529
0.180  0.000 1837.853
0.190  0.000 1940.216
0.200  0.000 2042.621
0.210  0.000 2145.070
0.220  0.000 2247.566
0.230  0.000 2350.110
0.240  0.000 2452.704
0.250  0.000 2555.350
0.260  0.000 2658.051
0.270  0.000 2760.807
0.280  0.000 2863.620
0.290  0.000 2966.492
0.300  0.000 3069.422
0.310  0.000 3172.413
0.320  0.000 3275.463
0.330  0.000 3378.573
0.340  0.000 3481.741
0.350  0.000 3584.965
0.360  0.000 3688.243
0.370  0.000 3791.570
0.380  0.000 3894.942
0.390  0.000 3998.352
0.400  0.000 4101.790
0.410  0.000 4205.247
0.420  0.000 4308.708
0.430  0.000 4412.158
0.440  0.000 4515.577
0.450  0.000 4618.942
0.460  0.000 4722.224
0.470  0.000 4825.393
0.480  0.000 4928.408
0.490  0.000 5031.225
0.500  0.000 5133.792
0.510  0.000 5236.049
0.520  0.000 5337.925
0.530  0.000 5439.343
0.540  0.000 5540.209
0.550  0.000 5640.420
0.560  0.000 5739.859
0.570  0.000 5838.393
0.580  0.000 5935.871
0.590  0.000 6032.125
0.600  0.000 6126.967
0.610  0.000 6220.189
0.620  0.000 6311.557
0.630  0.000 6400.817
0.640  0.000 6487.687
0.650  0.000 6571.860
0.660  0.000 6653.002
0.670  0.000 6730.751
0.680  0.000 6804.718
0.690  0.000 6874.491
0.700  0.000 6939.630
0.710  0.000 6999.676
0.720  0.000 7054.151
0.730  0.000 7102.566
0.740  0.000 7144.425
0.750  0.000 7179.238
0.760  0.000 7206.524
0.770  0.000 7225.835
0.780  0.000 7236.758
0.790  0.000 7238.945
0.800  0.000 7232.121
0.810  0.000 7216.113
0.820  0.000 7190.866
0.830  0.000 7156.469
0.840  0.000 7113.174
0.850  0.000 7061.415
0.860  0.000 7001.818
0.870  0.000 6935.208
0.880  0.000 6862.602
0.890  0.000 6785.184
0.900  0.000 6704.273
0.910  0.000 6621.262
0.920  0.000 6537.542
0.930  0.000 6454.417
0.940  0.000 6373.011
0.950  0.000 6294.189
0.960  0.000 6218.508
0.970  0.000 6146.225
0.980  0.000 6077.342
0.990  0.000 6011.683
1.000  0.000 5948.962




P: 10
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  100.859
0.020  0.000  201.719
0.030  0.000  302.584
0.040  0.000  403.456
0.050  0.000  504.336
0.060  0.000  605.227
0.070  0.000  706.131
0.080  0.000  807.051
0.090  0.000  907.988
0.100  0.000 1008.945
0.110  0.000 1109.924
0.120  0.000 1210.927
0.130  0.000 1311.957
0.140  0.000 1413.015
0.150  0.000 1514.103
0.160  0.000 1615.225
0.170  0.000 1716.382
0.180  0.000 1817.577
0.190  0.000 1918.811
0.200  0.000 2020.086
0.210  0.000 2121.406
0.220  0.000 2222.772
0.230  0.000 2324.186
0.240  0.000 2425.650
0.250  0.000 2527.167
0.260  0.000 2628.739
0.270  0.000 2730.367
0.280  0.000 2832.053
0.290  0.000 2933.800
0.300  0.000 3035.610
0.310  0.000 3137.483
0.320  0.000 3239.421
0.330  0.000 3341.425
0.340  0.000 3443.497
0.350  0.000 3545.636
0.360  0.000 3647.842
0.370  0.000 3750.116
0.380  0.000 3852.456
0.390  0.000 3954.860
0.400  0.000 4057.324
0.410  0.000 4159.845
0.420  0.000 4262.417
0.430  0.000 4365.032
0.440  0.000 4467.681
0.450  0.000 4570.352
0.460  0.000 4673.031
0.470  0.000 4775.700
0.480  0.000 4878.337
0.490  0.000 4980.915
0.500  0.000 5083.405
0.510  0.000 5185.768
0.520  0.000 5287.961
0.530  0.000 5389.933
0.540  0.000 5491.623
0.550  0.000 5592.961
0.560  0.000 5693.866
0.570  0.000 5794.242
0.580  0.000 5893.983
0.590  0.000 5992.962
0.600  0.000 6091.038
0.610  0.000 6188.049
0.620  0.000 6283.812
0.630  0.000 6378.119
0.640  0.000 6470.736
0.650  0.000 6561.404
0.660  0.000 6649.831
0.670  0.000 6735.696
0.680  0.000 6818.642
0.690  0.000 6898.280
0.700  0.000 6974.185
0.710  0.000 7045.899
0.720  0.000 7112.928
0.730  0.000 7174.750
0.740  0.000 7230.812
0.750  0.000 7280.545
0.760  0.000 7323.361
0.770  0.000 7358.674
0.780  0.000 7385.908
0.790  0.000 7404.512
0.800  0.000 7413.987
0.810  0.000 7413.905
0.820  0.000 7403.935
0.830  0.000 7383.880
0.840  0.000 7353.699
0.850  0.000 7313.548
0.860  0.000 7263.806
0.870  0.000 7205.097
0.880  0.000 7138.308
0.890  0.000 7064.586
0.900  0.000 6985.317
0.910  0.000 6902.074
0.920  0.000 6816.541
0.930  0.000 6730.402
0.940  0.000 6645.211
0.950  0.000 6562.257
0.960  0.000 6482.458
0.970  0.000 6406.315
0.980  0.000 6333.949
0.990  0.000 6265.204
1.000  0.000 6199.747




